Title,Type,Tags,URL,Description,Date added,Rating
The Ultimate Guide to Product Features Analysis,webpage,"churn, engagement, feature importance, product analytics",https://amplitude.com/blog/ultimate-guide-product-feature-analysis,An attempt to provide a feature importance analysis. The research questions in the beginning appeared to be a click bate. No answers on what features should be hidden/revealed by paywall are given.,2024/12/06,⭐⭐⭐
Product feature retention deep dive — MCC coefficient,webpage,"churn, engagement, feature importance, product analytics",https://medium.com/@paul.levchuk/product-feature-retention-deep-dive-mcc-coefficient-3e04150e56f7,Defining product feature importance using information gain + MCC coefficient,2024/12/05,⭐⭐⭐⭐⭐
Product feature retention analysis using Information gain,webpage,"churn, engagement, feature importance, product analytics",https://medium.com/@paul.levchuk/retention-deep-dive-f49a45c72012,Defining product feature importance using information gain criteria,2024/12/05,⭐⭐⭐⭐⭐
How to use product data to drive user engagement and retention - Issue 222,webpage,"engagement, metrics, product analytics",https://substack.com/home/post/p-149035628,Discussing an Amplitude dashboard template containing some engagement metrics. Too simple.,2024/12/05,⭐⭐
A First Course in Monte Carlo Methods,book,MCMC,https://x.com/gil2rok/status/1850592376500441519,,2024/10/28,
5 Must-Know Techniques for Mastering Time-Series Analysis,webpage,time series,https://towardsdatascience.com/5-must-know-techniques-for-mastering-time-series-analysis-a23ccf4d053a,,2024/10/21,
Mastering t-SNE: A Comprehensive Guide to Understanding and Implementation in Python,webpage,t-SNE,https://towardsdatascience.com/mastering-t-sne-a-comprehensive-guide-to-understanding-and-implementation-in-python-480929bfe6f4,,2024/10/19,
A Visual Exploration of Semantic Text Chunking,webpage,"NLP, text chunking",https://towardsdatascience.com/a-visual-exploration-of-semantic-text-chunking-6bb46f728e30,,2024/10/19,
ai-by-hand-excel,webpage,neural networks,https://github.com/ImagineAILab/ai-by-hand-excel,Tiny neural neworks examples visualized in Excel,2024/10/04,
Unsupervised Sequence Embedding via Sequential Patterns,webpage,embeddings,https://github.com/nphdang/Sqn2Vec,Какая-то питоновская библиотека для эмбеддинга последовательностей,2024/07/31,
Churn prediction - KKBOX challenge,webpage,"churn, predictive analytics",https://github.com/alteryx/open_source_demos/blob/main/predict-customer-churn/churn/2.%20Prediction%20Engineering.ipynb,Предсказание оттока на данных,2024/07/31,
Featuretools - Next purchase prediction,webpage,predictive analytics,https://github.com/alteryx/open_source_demos/blob/main/predict-next-purchase/Tutorial.ipynb,"С помощью инструмента featuretools пробуют предсказать, какой товар пользователькупил следующим а примере датасета instacart из Kaggle",2024/07/31,
Top Evaluation Metrics For Your NLP Model,webpage,LLM,https://datascience.fm/top-evaluation-metrics-for-nlp-models/,Обзор метрик качества для LLM,2024/07/27,
Model Interpretability Using Credit Card Fraud Data,webpage,feature importance,https://towardsdatascience.com/model-interpretability-using-credit-card-fraud-data-f219ff7ec89d,"Обзор feature importance для библиотек shap, lime",2024/07/21,
Базовый анализ продуктовых фичей,webpage,"churn, engagement, feature importance, product analytics",https://habr.com/ru/articles/807585/,,2024/07/19,
How to Learn Causal Inference on Your Own for Free,webpage,causal inference,https://towardsdatascience.com/how-to-learn-causal-inference-on-your-own-for-free-98503abc0a06,,2024/07/19,
How to Discover Your App’s ‘Aha Moment’,webpage,"aha moment, product analytics",https://medium.com/parsa-vc/how-to-discover-your-apps-aha-moment-5f75dd7b6536,,2024/05/14,
"Facebook's ""Aha"" Moment Was Simpler Than You Think | Mode",webpage,"aha moment, product analytics",https://mode.com/blog/facebook-aha-moment-simpler-than-you-think,,2024/05/14,
A-ha моменты в продукте: системный подход к поиску,webpage,product analytics,https://ecommerce-in-ukraine.blogspot.com/2020/09/aha-via-woe-iv.html,,2024/05/14,
MLU-Explain,webpage,ML,https://mlu-explain.github.io/,Классные визуализации ML-алгоритмов,2024/05/13,
Deep Dive into Self-Attention by Hand✍︎,webpage,"neural networks, transformers",https://towardsdatascience.com/deep-dive-into-self-attention-by-hand-%EF%B8%8E-f02876e49857,,2024/05/13,
Introduction to autoencoders.,webpage,autoencoders,https://www.jeremyjordan.me/autoencoders/,,2024/05/12,
How Duolingo reignited user growth,webpage,"growth, product analytics",https://www.lennysnewsletter.com/p/how-duolingo-reignited-user-growth,Большая статья Jorge Mazal про механику экспоненциального роста в Duolingo.,2024/05/12,⭐⭐⭐⭐⭐
The secret to Duolingo’s exponential growth,webpage,product analytics,https://www.lennysnewsletter.com/p/the-secret-to-duolingos-growth?t=1,"Большой пост от Sean Colombo про то, как они добились роста Duolingo.",2024/05/12,⭐⭐⭐⭐⭐
"“Hi, it’s Duo”: Meet the AI behind the meme",webpage,"bandits, product analytics, push notifications",https://blog.duolingo.com/hi-its-duo-the-ai-behind-the-meme/,"Статья про то, как в Duolingo разработали алгоритм рассылки пушей, используя бандитов. Прилагается и статья из KDD-2020.",2024/05/12,⭐⭐⭐⭐⭐
How to Work with Autoencoders [Case Study Guide],webpage,autoencoders,https://neptune.ai/blog/autoencoders-case-study-guide,Неплохая статья про автоэнкодеры с примером распознавания изображний цифр из MNIST,2024/05/11,
Scaling hierarchical agglomerative clustering to trillion-edge graphs,webpage,graph clustering,https://research.google/blog/scaling-hierarchical-agglomerative-clustering-to-trillion-edge-graphs/,Новый мощный алгоритм кластеризации нод графа от Гугла,2024/05/02,
An Undeservedly Forgotten Correlation Coefficient,webpage,"causal inference, churn",https://towardsdatascience.com/an-undeservedly-forgotten-correlation-coefficient-86245ccb774c,"Про коэффициент корреляции ξ. ",2024/05/01,
Why Graph-modeling Frameworks are the Future of Unsupervised Learning,webpage,"clustering, feature importance",https://towardsdatascience.com/why-graph-modeling-frameworks-are-the-future-of-unsupervised-learning-2092b089caff,"Строят алгоритм feature importance для unsupervised learning. Рассматривают граф, как переходы x_{i, j} -> x_{i, j+1}. Ноды: множество уникальных значений всех фичей. Самая информативная фича -- та, у которой самый большой суммарный PageRank по нодам-значениям этой фичи. Статья слабая (хотя и с ноутбуком), но идея интересная.",2024/04/29,
A New Coefficient of Correlation,webpage,"causal inference, churn",https://towardsdatascience.com/a-new-coefficient-of-correlation-64ae4f260310,"Какой-то новый коэффициент корреляции. Возможно, получится использовать для исследования влияния фичей на отток.",2024/04/29,
Practitioner’s Guide to Statistical Tests,webpage,stattests,https://vkteam.medium.com/practitioners-guide-to-statistical-tests-ed2d580ef04f,Крутая статья про стат критерии от Никиты Маршалкина,2024/04/26,
Word2Vec Explained,webpage,embeddings,https://towardsdatascience.com/word2vec-explained-49c52b4ccb71,,2024/04/24,
"Индуктивная статистика: доверительные интервалы, предельные ошибки, размер выборки и проверка гипотез",webpage,stattests,https://habr.com/ru/articles/807051/,,2024/04/23,
Linear Regressions for Causal Conclusions,webpage,"causal inference, linear regression",https://towardsdatascience.com/linear-regressions-for-causal-conclusions-34c6317c5a11,,2024/04/23,
How to Select the Most Influential Combination of Nodes in a Graph,webpage,graph embeddings,https://towardsdatascience.com/how-to-select-the-most-influential-combination-of-nodes-in-a-graph-b88b40c77ae7,,2024/04/21,
Mastering Customer Segmentation with LLM,webpage,"CJM, clustering, neural networks",https://towardsdatascience.com/mastering-customer-segmentation-with-llm-3d9008235f41,,2024/04/17,
Mann-Whitney (Wilcoxon) and Kruskal-Wallis FAIL to compare medians in general. Quantile regression should be used to compare medians instead,webpage,"Mann-Whitney, Wilcoxon, stattests",https://gist.github.com/adrianolszewski/2cec75678e1183e4703589bfd22fa8b2?permalink_comment_id=4694081#gistcomment-4694081,,2024/04/16,
The Illustrated Transformer – Jay Alammar – Visualizing machine learning one concept at a time.,webpage,"neural networks, transformers",https://jalammar.github.io/illustrated-transformer/,,2024/04/16,
A Quantitative Approach to Product Market Fit - Tribe Capital,webpage,"churn, growth, product analytics, user activity modeling",https://tribecap.co/a-quantitative-approach-to-product-market-fit/,,2024/04/09,
How Meta uses analytics to assess Product Market Fit | by Ani Ganti | Medium,,"churn, growth, product analytics, user activity modeling",https://aniganti.medium.com/how-meta-uses-analytics-to-assess-product-market-fit-c9262add2790,,2024/04/09,
Analytics and Product-Market Fit. Does this product have product-market… | by Analytics at Meta | Medium,webpage,"churn, growth, product analytics, user activity modeling",https://medium.com/@AnalyticsAtMeta/analytics-and-product-market-fit-11efaea403cd,Моделирование оттока через active/inactive/resurrected состояния,2024/04/09,
"Improving Generalization in Survival Models | by Nicolas Lupi | Apr, 2024 | Towards Data Science",webpage,"churn, survival analysis",https://towardsdatascience.com/improving-generalization-in-survival-models-bb7bc045bfc6,,2024/04/09,
"(40) User modeling: матрицы и графы в продуктовой аналитике, Антон Марцен @Flo Health - YouTube",video,"collaborative filtering, product analytics, recommender system",https://www.youtube.com/watch?v=oozhW3fVAAg,"Доклад Антона Марцена про то, как пользователей кластеризовали по тому, какие одинаковые статьи они читают. Использовался алгоритм VERSE.",2024/04/05,
Complete guide to understanding Node2Vec algorithm | by Tomaz Bratanic | Towards Data Science,webpage,"graph embeddings, node2vec",https://towardsdatascience.com/complete-guide-to-understanding-node2vec-algorithm-4e9a35e5d147,,2024/04/05,
VERSE: Versatile Graph Embeddings from Similarity Measures · Anton Tsitsulin,webpage,"graph embeddings, node2vec",https://tsitsul.in/publications/verse/,,2024/04/05,
Кластеризация в ML: от теоретических основ популярных алгоритмов к их реализации с нуля на Python / Хабр,webpage,clustering,https://habr.com/ru/articles/798331/,Хороший обзор по алгоритмам кластеризации,2024/04/05,
What Success Metrics would you set for Spotify? PM interview | by Product Managers Club | Medium,webpage,"metrics, product analytics",https://medium.com/@pmclub/what-success-metrics-would-you-set-for-spotify-pm-interview-f438c1523c72,,2024/04/05,
Intuitive Explanation of the Kullback-Leibler Divergence,webpage,,https://johfischer.com/2021/12/31/intuitive-explanation-of-the-kullback-leibler-divergence/,,2024/04/05,
Why growth models fail - by Dan Hockenmaier,webpage,"growth, product analytics",https://www.danhock.co/p/why-growth-models-fail,,2024/04/05,
